raw_name,normalized,suggested_id,note
저염 된,저염된,,
대패삼겹살,대패삼겹살,,
닭다릿살,닭다릿살,,
맛간,맛간,,
닭고기(다리살),닭고기(다리살),,
포도,포도,,
가람마살라,가람마살라,,
코리앤더파우더,코리앤더파우더,,
커민파우더,커민파우더,,
타임 마른것,타임마른것,,
쇠고기(우둔),쇠고기(우둔),,
돼지고기(전지),돼지고기(전지),,
돼지고기(불고기용),돼지고기(불고기용),,
돼지고기(삼겹살),돼지고기(삼겹살),,
참치살,참치살,,
달걀 삶은것,달걀삶은것,,
캔참치,캔참치,,
[ 2인분 ] 삼겹살(900g),[2인분]삼겹살(900g),,
파채,파채,,
펜넬파스타,펜넬파스타,,
파다진것,파다진것,,
쇠고기갈은것,쇠고기갈은것,,
돼지고기다진것,돼지고기다진것,,
돼지고기살코기,돼지고기살코기,,
파래김,파래김,,
쇠고기살코기,쇠고기살코기,,
쇠고기등심,쇠고기등심,,
쇠고기 등심,쇠고기등심,,
파래(생것),파래(생것),,
쇠고기안심,쇠고기안심,,
달걀노른자,달걀노른자,,
쳥양고추,쳥양고추,,
소고기(갈빗살,소고기(갈빗살,,
저나트륨 베이킹 파우더,저나트륨베이킹파우더,,
